Date;Open;High;Low;Close;Adj Close;Volume;y;predn;SES open;SES High;SES Low;SES Close;SES Adj Close;SES Volume;MACD;MTM;RSI;ATR;ADOSC;CCI;MFI;ULTSOC;Donchian upper;Donchian Lower;Donchian Medium;Upper BB;Lower BB;OBV;SMA;TSI;CC;SO%k;SO%d;MI;1-EMV;15-EMV;+VI;-VI;CO;ROC
30/01/2017;323.75;323.75;316.25;320;318.846497;100400;-3.73648;-1;321.3971972;323.0071199;312.9691052;320.7964075;319.6400305;229229.6577;0;1.610883339;60.50163388;13.20840319;1975319.16;103.6270996;50.90088559;0;320.4335641;299.4018699;309.917717;326.2681999;296.0980053;1224418.497;311.1831026;0;0;93.03619449;94.34976123;0;-5557.009615;-202.737655;1.006705228;0.983836389;491556.4096;0.506520661
31/01/2017;318.75;318.75;318.75;318.75;317.601013;8400;-1.245484;1;320.0735986;320.8785599;315.8595526;319.7732037;318.6205218;118814.8289;0;-1.06279883;58.95801817;12.52086826;1987225.032;96.25101551;56.24237154;0;320.4335641;299.4018699;309.917717;326.0462088;296.1782898;1105603.669;311.1122493;0;0;89.81307435;93.56119427;0;-10600.71153;-1756.828912;1.053453376;1.001457747;456784.9537;-0.332453638
01/02/2017;318.75;323.75;318.75;323.75;322.582977;40000;4.981964;-1;319.4117993;322.31428;317.3047763;321.7616019;320.6017494;79407.41444;0;5.073321585;61.02829367;11.59376746;2012340.59;102.7980405;64.02005306;0;320.4335641;299.4018699;309.917717;326.986827;295.9141145;1185011.083;311.4504708;0;2.033277639;96.07658365;92.97528416;0;-29.97744787;-2468.222839;1.082772174;0.997193273;409025.6763;1.607880982
02/02/2017;321.25;322.5;318.75;322.5;321.337494;51600;-1.245483;-1;320.3308997;322.40714;318.0273882;322.1308009;320.9696217;65503.70722;0;3.782159292;61.41549664;11.00521707;2034845.159;99.31322432;62.5841159;0;320.6017494;299.4018699;310.0018096;327.7185766;295.6866528;1250514.79;311.7026147;0;4.008297131;97.23957096;94.37640965;0;-2105.343998;-1146.469218;1.062529798;0.990949419;359464.1823;1.192405041
03/02/2017;322.5;322.5;316.25;318.75;317.601013;93600;-3.736481;-1;321.4154498;322.45357;317.1386941;320.4404005;319.2853173;79551.85361;0;1.891079646;58.56128262;10.9192752;2019553.643;81.25275819;58.78495393;0;320.9696217;299.4018699;310.1857458;328.0503247;295.6070486;1170962.937;311.8286867;0;5.6386915;91.91476258;95.07697239;0;3123.791746;201.6400327;1.02387921;0.983991446;301644.9812;0.595814108
06/02/2017;317.5;317.5;317.5;317.5;316.355499;48000;-1.245514;1;319.4577249;319.976785;317.319347;318.9702002;317.8204082;63775.9268;3.319663235;9.663999823;56.1304211;9.501304266;1979827.676;59.7727606;62.18437842;0;320.9696217;299.4018699;310.1857458;328.8271144;296.1187923;1107187.01;312.4729533;0;7.073754427;87.28359105;92.14597486;0;-5536.553409;-6710.191001;1.154053078;0.995186531;237929.3203;3.136069723
07/02/2017;316.25;317.5;300;317.5;316.355499;98400;0;1;317.8538625;318.7383925;308.6596735;318.2351001;317.0879536;81087.9634;3.124079725;10.43672091;54.90938241;9.125652133;2034358.548;21.96637578;63.34206467;0;320.9696217;299.4018699;310.1857458;329.3602041;296.9772653;1026099.046;313.1687347;0;7.643270141;84.96800528;88.05545297;0;46120.90546;-315.5558271;1.080197291;0.960967124;207584.6165;3.403449848
08/02/2017;315;317.5;275;317.5;316.355499;150000;0;-1;316.4269312;318.1191962;291.8298368;317.8675501;316.7217263;115543.9817;2.906028021;13.93682046;54.27685546;9.8961594;2137618.53;-40.60749271;63.65798002;0;320.9696217;299.4018699;310.1857458;329.3727999;298.8229123;910555.0647;314.0978561;0;7.683374667;83.8102124;85.35393625;0;184417.8077;12348.6924;0.97803117;0.944109608;209154.994;4.602878211
09/02/2017;317.5;317.5;287.5;312.5;311.373535;659600;-4.981964;1;316.9634656;317.8095981;289.6649184;315.183775;314.0476306;387571.9909;2.488754491;13.19588823;49.78979175;11.28141303;2421580.656;-68.59372875;56.41551932;85.36096801;320.9696217;299.4018699;310.1857458;328.5215734;301.4335906;522983.0739;314.977582;0;7.092420377;76.53620784;81.77147518;0;6736.476789;15248.50983;0.953430462;0.923778746;281134.9165;4.386176434
10/02/2017;312.5;312.5;310;312.5;311.373535;19600;0;1;314.7317328;315.1547991;299.8324592;313.8418875;312.7105828;203585.9954;2.026809825;12.82542211;47.6782434;11.80737318;2560214.667;-63.19588842;62.89789871;84.76334192;320.9696217;299.4018699;310.1857458;326.8391644;304.8260558;319397.0785;315.8326101;0;5.769561156;72.51161602;77.61934542;0;-48251.90679;12021.88999;1.027156611;0.928298329;329134.3502;4.276777845
13/02/2017;312.5;317.5;312.5;317.5;316.355499;45200;4.981964;1;313.6158664;316.3273995;306.1662296;315.6709438;314.5330409;124392.9977;1.78717109;15.13117106;50.72978311;11.82035326;2640674.604;-39.06916942;68.80611459;84.91779243;320.9696217;299.4018699;310.1857458;323.5891359;310.0935739;443790.0762;316.8413549;0;4.465669051;77.9973253;75.68171639;0;-21079.77368;10173.93021;1.084063262;0.914838626;344450.0667;5.053799786
14/02/2017;317.5;317.5;287.5;317.5;316.355499;413200;0;1;315.5579332;316.9136998;296.8331148;316.5854719;315.44427;268796.4989;1.651743959;6.320086528;52.22255304;12.11850996;2870131.851;-83.81402426;59.43910705;79.43335852;320.9696217;309.1241834;315.0469026;322.6905547;311.8348333;712586.575;317.262694;0;3.07758558;80.74017994;77.08304042;0;37051.75797;11423.43301;1.010053111;0.965343476;392411.0689;2.04451378
15/02/2017;317.5;317.5;317.5;317.5;316.355499;0;0;1;316.5289666;317.2068499;307.1665574;317.0427359;315.8998845;134398.2494;1.563162106;3.160043264;52.98563677;12.10092165;2969540.311;-25.18881942;59.26139459;77.68814325;320.9696217;312.7105828;316.8401023;322.4053434;312.5413836;846984.8245;317.4733635;0;1.689313458;82.11160726;80.2830375;0;-37503.26868;10155.52159;1.018806917;0.982646552;407987.7097;1.010438341
16/02/2017;317.5;320;312.5;320;318.846497;283600;2.490998;1;317.0144833;318.6034249;309.8332787;318.521368;317.3731907;208999.1247;1.59347526;-0.910960368;55.45081171;11.59212749;3119904.639;9.04860158;56.06484779;75.91152977;320.9696217;312.7105828;316.8401023;322.3255798;312.4996858;1055983.949;317.4126328;0;0.622050657;86.54632352;83.13270357;0;-2664.931805;9160.148558;1.038571336;1.005320016;425113.3753;-0.28620978
17/02/2017;320;320;320;320;318.846497;200000;0;1;318.5072417;319.3017125;314.9166393;319.260684;318.1098439;204499.5624;1.657829973;-2.323720184;56.66800378;11.04606375;3213237.705;47.63999006;53.17519733;72.58905289;320.9696217;312.7105828;316.8401023;321.9200217;312.5954145;1260483.512;317.2577181;0;-0.013280864;88.76368164;85.80720414;0;-4701.444359;9294.654556;1.031555306;1.017879837;423169.5436;-0.72518002
20/02/2017;320;320;320;320;318.846497;210800;0;1;319.2536208;319.6508562;317.4583197;319.630342;318.4781704;207649.7812;1.718739859;-1.161860092;57.29310527;10.52303187;3198763.071;66.21684582;52.73677783;72.77559657;320.9696217;312.7105828;316.8401023;321.7186343;312.6418873;1468133.293;317.1802608;0;-0.027102475;91.38961847;88.89987454;0;-1157.52989;9587.953204;1.028440564;1.02126297;379298.8161;-0.363490171
21/02/2017;318.75;335;318.75;335;333.792419;1409600;14.945922;1;319.0018104;327.3254281;318.1041598;327.315171;326.1352947;808624.8906;2.35769923;7.514772954;67.67861254;10.8031826;3798659.301;141.3168418;67.73279205;73.41741932;320.9696217;312.7105828;316.8401023;324.0392668;311.3232246;2276758.183;317.6812457;0;0.832624394;99.97276425;93.37535479;0;4007.656802;10561.84443;1.013851518;0.960216241;517746.0628;2.35853388
22/02/2017;335;337.5;325;336.25;335.037903;48400;1.245484;1;327.0009052;332.4127141;321.5520799;331.7825855;330.5865989;428512.4453;3.186529845;9.984849477;71.93022309;11.19325797;4083070.936;178.5505994;71.19545652;75.9041103;326.1352947;312.7105828;319.4229388;327.3352494;309.3585552;2705270.629;318.3469023;12.55286743;2.264871023;98.52593906;96.62944059;0;2077.483749;10702.34184;1.025296797;0.939854067;617810.36;3.114408919
23/02/2017;333.75;337.5;333.75;337.5;336.283417;54000;1.245514;1;330.3754526;334.956357;327.65104;334.6412927;333.4350079;241256.2226;4.026808346;12.46538624;74.25231784;11.38829565;4223842.831;187.2432354;72.69852388;81.2908633;330.5865989;312.7105828;321.6485908;330.87838;307.4774761;2946526.851;319.1779281;18.88626142;4.141662369;99.30436239;99.26768857;0;-5382.807995;10483.84424;1.056336506;0.926537342;647372.2337;3.88366543
24/02/2017;337.5;340;336.25;337.5;336.283417;122800;0;1;333.9377263;337.4781785;331.95052;336.0706464;334.8592125;182028.1113;4.752868406;15.57389512;75.34496472;11.40248116;4233383.644;172.0938361;75.70483085;85.85997764;333.4350079;312.7105828;323.0727954;334.2931055;306.1392699;3128554.963;320.2161877;24.34817508;6.188174515;97.05618873;98.29549673;0;-2699.113149;10095.65058;1.086600017;0.912155911;603649.4194;4.877736079
27/02/2017;337.5;340;337.5;340;338.774384;400400;2.490967;-1;335.7188632;338.7390893;334.72526;338.0353232;336.8167982;291214.0557;5.423715827;18.99639006;76.79517709;11.49290725;4245662.982;141.9718209;78.8506476;90.67699648;334.8592125;312.7105828;323.7848976;337.7215098;305.2437177;3419769.018;321.4826137;29.34510224;7.9139371;98.56591348;98.30882153;0;-1043.262182;10395.20333;1.100966115;0.891165894;534792.6559;5.977083149
28/02/2017;337.5;337.5;335;335;333.792419;23600;-4.981965;-1;336.6094316;338.1195446;334.86263;336.5176616;335.3046086;157407.0278;5.766869297;18.21665503;73.23013635;11.03812029;4130977.701;105.294794;77.15554794;92.39773976;336.8167982;312.7105828;324.7636905;340.1211246;305.2729901;3262361.99;322.6970574;32.2779973;9.224771709;95.47332614;97.03180945;24.03686108;-783.0674339;7268.271803;1.158257359;0.882944127;421515.6945;5.744984893
01/03/2017;330;335;327.5;330;328.810455;247600;-4.981964;1;333.3047158;336.5597723;331.181315;333.2588308;332.0575318;202503.5139;5.710976353;15.33580551;66.16370857;9.644060145;3994454.811;71.47962191;75.27588376;92.55295646;336.8167982;312.7105828;324.7636905;341.4186174;306.0202714;3059858.476;323.7194444;32.42829515;10.16572184;88.8327029;94.29064751;23.77504771;2817.389819;-4838.422722;1.272025666;0.872525501;293416.4092;4.842044054
02/03/2017;330;333.75;330;333.75;332.546936;14000;3.736481;-1;331.6523579;335.1548862;330.5906575;333.5044154;332.3022339;108251.757;5.621623628;18.25460326;66.42530422;8.072030072;3967391.428;58.36396402;80.39045305;92.34581545;336.8167982;312.7105828;324.7636905;342.3155828;307.5572531;3168110.233;324.936418;32.62999103;10.60489422;87.50852611;90.60485172;23.44804417;-1716.519843;-5401.955831;1.338004515;0.85674576;205726.8609;5.81268619
03/03/2017;332.5;332.5;331.25;331.25;330.055939;25600;-2.490997;1;332.0761789;333.8274431;330.9203287;332.3772077;331.1790865;66925.87848;5.397958037;18.46850363;63.99232736;7.24434837;3912379.486;46.27378223;77.83367651;91.48118607;336.8167982;312.7105828;324.7636905;342.4926301;309.842673;3101184.355;326.1676516;32.03647304;10.67249912;84.81867648;87.05330183;23.10497337;-3599.07178;-2425.100164;1.286088483;0.828163574;133647.622;5.905941354
06/03/2017;330;332.5;330;332.5;331.301422;13200;1.245483;1;331.0380895;333.1637215;330.4601644;332.4386038;331.2402542;40062.93924;5.166085752;16.70721331;64.06912032;6.747174185;3895436.229;34.85843472;76.1939244;89.36169623;336.8167982;314.5330409;325.6749196;342.5230918;312.0398397;3141247.294;327.2814658;31.57567161;10.52269186;84.96518578;85.76412945;22.78462781;-686.8298248;-1065.570573;1.240040587;0.833645696;86619.84074;5.311751435
07/03/2017;332.5;332.5;332.5;332.5;331.301422;25600;0;1;331.7690447;332.8318608;331.4800822;332.4693019;331.2708381;32831.46962;4.9279864;15.82656816;64.11012482;5.514575623;3852440.683;30.51272009;82.28797962;85.4475914;336.8167982;315.44427;326.1305341;342.29125;314.3818906;3174078.764;328.3365703;31.20606514;9.717159858;80.14163907;83.30850044;22.51556543;-2782.856443;-3721.211534;1.415953911;0.804663253;45826.27093;5.017231145
08/03/2017;332.5;332.5;330;332.5;331.301422;18400;0;1;332.1345224;332.6659304;330.7400411;332.484651;331.2861301;25615.73481;4.686501804;15.38624558;64.13205304;4.97361541;3841351.713;19.21743575;80.91161867;84.81651449;336.8167982;315.8998845;326.3583414;341.6748652;317.0497749;3199694.499;329.36232;30.90218676;8.61862238;78.36269534;81.15650673;22.29599843;2158.192366;-1077.114131;1.31276585;0.789570803;21443.659;4.870608169
09/03/2017;332.5;332.5;320;332.5;331.301422;29600;0;1;332.3172612;332.5829652;325.3700205;332.4923255;331.293776;27607.8674;4.444506979;13.92058529;64.14378929;4.869801971;3859090.722;-19.49138642;78.90336236;90.04635826;336.8167982;317.3731907;327.0949945;340.8173762;319.7633419;3227302.366;330.290359;30.64760322;7.424279423;73.77782806;77.42738749;22.28685018;69065.88809;3704.940528;1.209411854;0.805339542;15163.76081;4.386188152
10/03/2017;320;332.5;312.5;332.5;331.301422;234400;0;-1;326.1586306;332.5414826;318.9350103;332.4961627;331.297599;131003.9337;4.204565209;13.18775514;64.1500734;5.484561917;3966142.284;-84.91454311;74.00597001;90.9925524;336.8167982;318.1098439;327.4633211;339.441954;322.8971314;3358306.3;331.1695427;30.43119987;5.790043958;70.66400023;74.26817454;22.59784831;33202.57451;6231.875119;1.045929441;0.836151021;45278.04843;4.145660815
13/03/2017;331.25;331.25;330;330;328.810455;19200;-2.490967;-1;328.7043153;331.8957413;324.4675051;331.2480814;330.054027;75101.96685;3.869459044;11.57585657;60.45724202;5.833608557;4004003.549;-86.01563783;72.84699173;91.25691398;336.8167982;318.4781704;327.6474843;336.7817359;327.1007971;3283204.333;331.9412665;29.24960637;3.906755519;63.69743877;69.37975568;22.97667507;-30554.05816;4272.106567;1.077360436;0.857324297;65528.10951;3.63474098
14/03/2017;328.75;328.75;328.75;328.75;327.564941;12800;-1.245514;1;328.7271576;330.3228706;326.6087526;329.9990407;328.809484;43950.98343;3.463535296;2.674189286;56.94244214;5.466465211;4012137.237;-106.8612902;60.88143579;91.31037089;336.8167982;326.1352947;331.4760465;336.2340742;328.0050174;3239253.349;332.1195458;27.22143032;2.162192105;55.86743226;63.40962375;23.15557309;-15693.24739;2958.712955;1.100793529;0.960519637;70443.11634;0.819963165
15/03/2017;328.75;330;326.25;330;328.810455;136800;1.245514;1;328.7385788;330.1614353;326.4293763;329.9995203;328.8099695;90375.49171;3.106072111;-1.776629357;56.94348838;4.991226871;4037058.572;-103.11993;48.08730074;93.26955206;336.8167982;328.809484;332.8131411;336.3791698;327.6230379;3329628.841;332.0011038;25.49307666;0.829123208;55.86985428;58.47824177;22.91292535;37.04362731;2822.683613;1.061941596;1.026866484;73979.39702;-0.537417234
16/03/2017;325;331.25;325;331.25;330.055939;40800;1.245484;1;326.8692894;330.7057177;325.7146881;330.6247602;329.4329543;65587.74586;2.840308318;-4.002053678;58.3353728;4.836941034;4069195.23;-75.49023473;42.15914603;94.23450665;336.8167982;328.809484;332.8131411;336.2168451;327.2517554;3395216.587;331.7343002;24.33210428;-0.316210578;59.02698079;56.92142244;22.46043367;4790.192701;3500.88366;0.970006115;1.055280274;78925.95789;-1.200249999
17/03/2017;331.25;331.25;331.25;331.25;330.055939;0;0;1;329.0596447;330.9778588;328.4823441;330.9373801;329.7444466;32793.87293;2.62456903;-5.114765839;59.04463748;4.634798116;4069572.254;-30.52088945;35.8916993;94.45631313;336.8167982;328.809484;332.8131411;335.6453715;327.1412602;3428010.46;331.3933159;23.50475468;-1.059054416;60.60554405;58.50079304;22.02680748;-9495.057097;3047.82073;0.946664288;1.090050549;73894.42591;-1.527437696
20/03/2017;331.25;331.25;331.25;331.25;330.055939;1200;0;-1;330.1548224;331.1139294;329.866172;331.09369;329.9001928;16996.93646;2.438057102;-6.91660542;59.41475719;4.458508351;4053502.179;-1.819126308;19.87745458;93.39053674;336.8167982;328.809484;332.8131411;334.0913596;327.7730581;3445007.396;330.9322088;22.88052999;-1.483048073;63.37750786;61.00334423;21.63772352;-4579.938516;2812.042308;0.9219374;1.108610413;60005.19108;-2.053521516
21/03/2017;325;330;323.75;328.75;327.564941;104000;-2.490998;1;327.5774112;330.5569647;326.808086;329.921845;328.7325669;60498.46823;2.171001449;-6.57204171;55.39369065;4.491305954;4055117.295;-57.22111236;21.82439723;93.76726282;335.3046086;328.809484;332.0570463;332.8188363;328.1693091;3384508.928;330.4940727;21.22433302;-1.76267642;62.33749268;62.1068482;21.23342172;7749.287423;3380.865965;0.875075721;1.106888384;49382.11452;-1.960021288
22/03/2017;328.75;331.25;322.5;331.25;330.055939;178000;2.490998;-1;328.1637056;330.9034824;324.654043;330.5859225;329.394253;119249.2341;1.989813127;-2.663278855;57.15431032;4.549371423;4116769.538;-67.07566601;23.82727455;94.39670502;332.3022339;328.7325669;330.5174004;332.5411886;328.091853;3503758.162;330.3165208;20.23128446;-1.823669983;71.83108133;65.84869396;21.04587637;6552.286167;3629.859055;0.899050884;1.077589277;60163.65021;-0.802053439
23/03/2017;330;330;330;330;328.810455;24400;-1.245484;-1;329.0818528;330.4517412;327.3270215;330.2929613;329.102354;71824.61706;1.801895143;-3.199879927;56.10758045;4.453404157;4126560.29;-29.03040616;32.79512073;93.95282833;332.3022339;328.7325669;330.5174004;332.1302018;328.0761891;3431933.545;330.1031955;19.08570861;-1.94817774;76.2665921;70.14505537;20.91473484;-6797.024079;3291.158772;0.945731561;1.064992853;62220.09504;-0.962942647
24/03/2017;327.5;327.5;325;325;323.828461;4800;-4.981994;1;328.2909264;328.9758706;326.1635108;327.6464806;326.4654075;38312.30853;1.42377683;-4.713678964;47.65935068;4.455519417;4096473.359;-115.3306154;33.90263388;92.44177557;331.297599;328.7325669;330.015083;332.4222011;327.1556993;3393621.237;329.7889502;15.41627658;-2.123551363;61.22459154;69.77408832;20.86778379;-1146.456963;3454.666427;0.921522734;1.065290341;47831.88129;-1.423302122
27/03/2017;327.5;327.5;325;327.5;326.319458;9200;2.490997;1;327.8954632;328.2379353;325.5817554;327.5732403;326.3924327;23756.15426;1.105483565;-4.847821482;47.44751839;4.452360934;4087218.163;-133.0173889;34.56866033;90.1003626;331.297599;326.4654075;328.8815033;332.4709056;326.4606186;3369865.082;329.4657621;12.29204562;-2.182292925;62.15962417;66.55026927;20.9054076;-873.125249;3442.246732;0.91964644;1.066447885;34652.6058;-1.463536337
29/03/2017;327.5;328.75;327.5;327.5;326.319458;6400;0;-1;327.6977316;328.4939676;326.5408777;327.5366202;326.3559454;15078.07713;0.840599722;-4.914892741;47.33480957;4.486356158;4069284.689;-96.67065227;33.15095257;88.21084038;331.297599;326.3924327;328.8450159;332.349253;325.9269521;3354787.005;329.1381026;9.626147926;-2.244207093;62.6440895;62.00943507;20.87367082;-4553.624203;3324.195548;0.920709843;1.058566303;20404.74167;-1.483647872
30/03/2017;325;325;323.75;325;323.828461;44800;-2.490997;1;326.3488658;326.7469838;325.1454388;326.2683101;325.0922032;29939.03857;0.52267882;-6.19392687;43.5002517;4.464733204;4037355.292;-170.3180411;33.00025757;86.03218849;331.297599;326.3559454;328.8267722;332.2978746;325.1524736;3324847.967;328.7251741;6.082272197;-2.423434273;53.73185835;59.51185734;20.7517437;-940.269167;3117.631446;0.910539544;1.082457974;2561.739821;-1.869660788
31/03/2017;325;325;325;325;323.828461;8400;0;1;325.6744329;325.8734919;325.0727194;325.634155;324.4603321;19169.51928;0.217233366;-6.833443935;41.69095524;4.03725506;3988866.157;-170.4889809;33.3465463;83.00917427;331.297599;325.0922032;328.1949011;332.1458226;324.3933998;3305678.447;328.2696112;2.476040901;-2.610722053;49.23498617;55.20364467;20.58337915;-1672.542151;-1598.263904;0.988540814;1.104242766;-20398.9165;-2.062653883
03/04/2017;322.5;325;322.5;325;323.828461;44400;0;-1;324.0872164;325.436746;323.7863597;325.3170775;324.1443965;31784.75964;-0.049754179;-7.153202468;40.78225134;3.240182655;3970872.247;-155.0449954;37.85789072;78.87640145;331.297599;324.4603321;327.8789656;331.8186892;323.7667729;3273893.688;327.792731;-0.866353196;-2.870302392;18.87588828;40.61424427;20.45032933;2205.759727;-3664.718222;1.091655238;1.138018616;-33662.80013;-2.15914709
04/04/2017;325;325;321.25;321.25;320.09198;6800;-3.736481;1;324.5436082;325.218373;322.5181799;323.2835388;322.1181883;19292.37982;-0.420000304;-7.935838734;35.46987305;2.924979785;3945864.136;-163.8073471;29.90115337;73.17944452;330.054027;324.1443965;327.0992118;331.9872259;322.5401243;3254601.308;327.2636751;-5.662537927;-3.275494955;8.903922793;25.67159908;20.42670626;7346.634622;-1138.00537;0.946530023;1.143151179;-43985.80613;-2.404405971
05/04/2017;321.25;321.25;321.25;321.25;320.09198;0;0;1;322.8968041;323.2341865;321.8840899;322.2667694;321.1050841;9646.18991;-0.786110273;-7.704399867;33.15613134;2.767378351;3925086.242;-163.2194413;31.50588029;68.93046611;329.9001928;322.1181883;326.0091905;332.2938445;321.2062525;3244955.118;326.7500485;-10.54236296;-3.468885543;4.14611167;10.64197425;20.42497642;-9448.086455;-721.6613075;0.876626522;1.161212276;-50821.29253;-2.343119722
